filename,Q_condition,item,inter_reading,GP_condition,participant
11.24FDY,False,24,2149,True,11
11.25FQY,True,25,14250,True,11
11.27FDY,False,27,1700,True,11
11.28FDY,False,28,2249,True,11
11.29FDY,False,29,8050,True,11
11.30FQY,True,30,8700,True,11
11.31FQY,True,31,7550,True,11
11.32FQY,True,32,9850,True,11
11.34FDN,False,34,7600,False,11
11.35FQN,True,35,1299,False,11
11.36FDN,False,36,4500,False,11
11.37FQN,True,37,2900,False,11
11.39FQN,True,39,4900,False,11
11.3EQY,True,3,7250,True,11
11.41FQN,True,41,1600,False,11
11.42FQN,True,42,4850,False,11
11.43FQN,True,43,8199,False,11
11.44FDN,False,44,-1,False,11
11.45FDN,False,45,2949,False,11
11.47FQN,True,47,5350,False,11
11.48FQN,True,48,1849,False,11
11.4EQN,True,4,1349,False,11
11.5EQY,True,5,7400,True,11
11.6EQN,True,6,7000,False,11
11.7EDN,False,7,2349,False,11
11.8EDN,False,8,2950,False,11
12.10EDN,False,10,-1,False,12
12.11EQY,True,11,599,True,12
12.12EQN,True,12,1649,False,12
12.13EQY,True,13,2700,True,12
12.14EDY,False,14,2450,True,12
12.15EQN,True,15,-1,False,12
12.16EDY,False,16,1850,True,12
12.17FQY,True,17,1199,True,12
12.18FQY,True,18,-1,True,12
12.19FQY,True,19,4699,True,12
12.1EQN,True,1,1199,False,12
12.20FQY,True,20,4200,True,12
12.21FQY,True,21,3700,True,12
12.22FQY,True,22,12100,True,12
12.23FQY,True,23,1550,True,12
12.24FQY,True,24,-1,True,12
12.25FDY,False,25,-1,True,12
12.26FQY,True,26,549,True,12
12.27FQY,True,27,1100,True,12
12.28FQY,True,28,1249,True,12
12.29FQY,True,29,2300,True,12
12.2EDN,False,2,6650,False,12
12.30FDY,False,30,1200,True,12
12.31FDY,False,31,1249,True,12
12.32FDY,False,32,1250,True,12
12.33FDN,False,33,1649,False,12
12.34FQN,True,34,7700,False,12
12.35FDN,False,35,549,False,12
12.36FQN,True,36,1099,False,12
12.37FDN,False,37,-1,False,12
12.38FDN,False,38,2250,False,12
12.39FDN,False,39,3050,False,12
12.3EDN,False,3,750,False,12
12.40FDN,False,40,7700,False,12
12.41FDN,False,41,849,False,12
12.42FDN,False,42,2450,False,12
12.43FDN,False,43,1150,False,12
12.44FQN,True,44,2600,False,12
12.45FQN,True,45,1600,False,12
12.46FDN,False,46,900,False,12
12.47FDN,False,47,2050,False,12
12.48FDN,False,48,3400,False,12
12.4EDY,False,4,799,True,12
12.5EDN,False,5,1950,False,12
12.6EDY,False,6,1199,True,12
12.7EQY,True,7,4000,True,12
12.8EQY,True,8,10449,True,12
12.9EQN,True,9,7050,False,12
13.10EQN,True,10,8500,False,13
13.11EDY,False,11,4150,True,13
13.12EDN,False,12,1099,False,13
13.13EDY,False,13,4000,True,13
13.14EQY,True,14,2500,True,13
13.15EDN,False,15,1299,False,13
13.16EQY,True,16,10350,True,13
13.17FDY,False,17,1399,True,13
13.18FDY,False,18,6250,True,13
13.19FDY,False,19,2400,True,13
13.1EDN,False,1,13549,False,13
13.20FDY,False,20,1399,True,13
13.21FDY,False,21,1799,True,13
13.22FDY,False,22,11699,True,13
13.23FDY,False,23,-1,True,13
13.24FDY,False,24,300,True,13
13.25FQY,True,25,1850,True,13
13.26FDY,False,26,3650,True,13
13.27FDY,False,27,1399,True,13
13.28FDY,False,28,2750,True,13
13.29FDY,False,29,2100,True,13
13.2EQN,True,2,800,False,13
13.30FQY,True,30,0,True,13
13.31FQY,True,31,3200,True,13
13.32FQY,True,32,3300,True,13
13.33FQN,True,33,-1,False,13
13.34FDN,False,34,3399,False,13
13.35FQN,True,35,-1,False,13
13.36FDN,False,36,950,False,13
13.37FQN,True,37,6199,False,13
13.38FQN,True,38,1399,False,13
13.39FQN,True,39,1800,False,13
13.3EQN,True,3,1399,False,13
13.40FQN,True,40,1349,False,13
13.41FQN,True,41,2500,False,13
13.42FQN,True,42,7949,False,13
13.43FQN,True,43,2149,False,13
13.44FDN,False,44,1799,False,13
13.45FDN,False,45,5100,False,13
13.46FQN,True,46,16400,False,13
13.47FQN,True,47,3199,False,13
13.48FQN,True,48,799,False,13
13.4EQY,True,4,3650,True,13
13.5EQN,True,5,-1,False,13
13.6EQY,True,6,-1,True,13
13.7EDY,False,7,14950,True,13
13.8EDY,False,8,449,True,13
13.9EDN,False,9,1349,False,13
14.10EDY,False,10,1050,True,14
14.11EQN,True,11,1399,False,14
14.12EQY,True,12,2150,True,14
14.13EQN,True,13,6199,False,14
14.14EDN,False,14,-1,False,14
14.15EQY,True,15,9600,True,14
14.16EDN,False,16,4100,False,14
14.17FQY,True,17,-1,True,14
14.18FQY,True,18,-1,True,14
14.19FQY,True,19,1799,True,14
14.1EQY,True,1,2700,True,14
14.20FQY,True,20,8500,True,14
14.21FQY,True,21,2200,True,14
14.22FQY,True,22,7150,True,14
14.23FQY,True,23,12649,True,14
14.24FQY,True,24,4450,True,14
14.25FDY,False,25,1049,True,14
14.26FQY,True,26,2300,True,14
14.27FQY,True,27,4900,True,14
14.28FQY,True,28,4050,True,14
14.29FQY,True,29,2200,True,14
14.2EDY,False,2,-1,True,14
14.30FDY,False,30,1049,True,14
14.31FDY,False,31,2250,True,14
14.32FDY,False,32,2900,True,14
14.33FDN,False,33,699,False,14
14.34FQN,True,34,2700,False,14
14.35FDN,False,35,1850,False,14
14.36FQN,True,36,4500,False,14
14.37FDN,False,37,2800,False,14
14.38FDN,False,38,1150,False,14
14.39FDN,False,39,3599,False,14
14.3EDY,False,3,1700,True,14
14.40FDN,False,40,1000,False,14
14.41FDN,False,41,1300,False,14
14.42FDN,False,42,2750,False,14
14.43FDN,False,43,1200,False,14
14.44FQN,True,44,1299,False,14
14.45FQN,True,45,1850,False,14
14.46FDN,False,46,2200,False,14
14.47FDN,False,47,6999,False,14
14.48FDN,False,48,1349,False,14
14.4EDN,False,4,16050,False,14
14.5EDY,False,5,1599,True,14
14.6EDN,False,6,1099,False,14
14.7EQN,True,7,-1,False,14
14.8EQN,True,8,3700,False,14
14.9EQY,True,9,3149,True,14
15.10EQY,True,10,1350,True,15
15.11EDN,False,11,2250,False,15
15.12EDY,False,12,1450,True,15
15.13EDN,False,13,11400,False,15
15.14EQN,True,14,1050,False,15
15.15EDY,False,15,1750,True,15
15.16EQN,True,16,1199,False,15
15.17FDY,False,17,1050,True,15
15.18FDY,False,18,800,True,15
15.19FDY,False,19,1750,True,15
15.1EDY,False,1,1800,True,15
15.20FDY,False,20,1850,True,15
15.21FDY,False,21,3500,True,15
15.22FDY,False,22,800,True,15
15.23FDY,False,23,600,True,15
15.24FDY,False,24,1950,True,15
15.25FQY,True,25,600,True,15
15.26FDY,False,26,1250,True,15
15.27FDY,False,27,1350,True,15
15.28FDY,False,28,1250,True,15
15.29FDY,False,29,750,True,15
15.2EQY,True,2,1400,True,15
15.30FQY,True,30,1250,True,15
15.31FQY,True,31,1950,True,15
15.32FQY,True,32,650,True,15
15.33FQN,True,33,1250,False,15
15.34FDN,False,34,1450,False,15
15.35FQN,True,35,800,False,15
15.36FDN,False,36,1850,False,15
15.37FQN,True,37,1550,False,15
15.38FQN,True,38,1150,False,15
15.39FQN,True,39,1399,False,15
15.3EQY,True,3,1350,True,15
15.40FQN,True,40,1400,False,15
15.41FQN,True,41,1200,False,15
15.42FQN,True,42,600,False,15
15.43FQN,True,43,1250,False,15
15.44FDN,False,44,1000,False,15
15.45FDN,False,45,1150,False,15
15.46FQN,True,46,1350,False,15
15.47FQN,True,47,1550,False,15
15.48FQN,True,48,899,False,15
15.4EQN,True,4,1400,False,15
15.5EQY,True,5,1800,True,15
15.6EQN,True,6,1750,False,15
15.7EDN,False,7,1600,False,15
15.8EDN,False,8,1400,False,15
15.9EDY,False,9,1750,True,15
16.10EDN,False,10,4150,False,16
16.11EQY,True,11,1900,True,16
16.12EQN,True,12,2150,False,16
16.13EQY,True,13,2850,True,16
16.14EDY,False,14,1200,True,16
16.15EQN,True,15,3300,False,16
16.16EDY,False,16,1650,True,16
16.17FQY,True,17,1249,True,16
16.18FQY,True,18,1149,True,16
16.19FQY,True,19,1299,True,16
16.1EQN,True,1,2500,False,16
16.20FQY,True,20,2750,True,16
16.21FQY,True,21,2700,True,16
16.22FQY,True,22,3300,True,16
16.23FQY,True,23,1199,True,16
16.24FQY,True,24,15200,True,16
16.25FDY,False,25,7549,True,16
16.26FQY,True,26,1199,True,16
16.27FQY,True,27,3250,True,16
16.28FQY,True,28,2600,True,16
16.29FQY,True,29,-2,True,16
16.2EDN,False,2,4100,False,16
16.30FDY,False,30,1900,True,16
16.31FDY,False,31,1500,True,16
16.32FDY,False,32,1400,True,16
16.33FDN,False,33,4100,False,16
16.34FQN,True,34,3400,False,16
16.35FDN,False,35,1799,False,16
16.36FQN,True,36,1950,False,16
16.37FDN,False,37,3400,False,16
16.38FDN,False,38,-1,False,16
16.39FDN,False,39,1350,False,16
16.3EDN,False,3,2100,False,16
16.40FDN,False,40,2400,False,16
16.41FDN,False,41,3050,False,16
16.42FDN,False,42,2700,False,16
16.43FDN,False,43,3400,False,16
16.44FQN,True,44,3550,False,16
16.45FQN,True,45,2550,False,16
16.46FDN,False,46,1800,False,16
16.47FDN,False,47,4350,False,16
16.48FDN,False,48,4800,False,16
16.4EDY,False,4,-1,True,16
16.5EDN,False,5,3250,False,16
16.6EDY,False,6,2800,True,16
16.7EQY,True,7,12650,True,16
16.8EQY,True,8,2249,True,16
16.9EQN,True,9,2850,False,16
17.10EQN,True,10,6850,False,17
17.11EDY,False,11,1500,True,17
17.12EDN,False,12,900,False,17
17.13EDY,False,13,1750,True,17
17.14EQY,True,14,0,True,17
17.15EDN,False,15,2599,False,17
17.16EQY,True,16,3300,True,17
17.17FDY,False,17,2999,True,17
17.18FDY,False,18,499,True,17
17.19FDY,False,19,1350,True,17
17.1EDN,False,1,2900,False,17
17.20FDY,False,20,4900,True,17
17.21FDY,False,21,3000,True,17
17.22FDY,False,22,899,True,17
17.23FDY,False,23,3550,True,17
17.24FDY,False,24,3500,True,17
17.25FQY,True,25,3850,True,17
17.26FDY,False,26,400,True,17
17.27FDY,False,27,1700,True,17
17.28FDY,False,28,-1,True,17
17.29FDY,False,29,799,True,17
17.2EQN,True,2,1450,False,17
17.30FQY,True,30,2550,True,17
17.31FQY,True,31,2700,True,17
17.32FQY,True,32,1900,True,17
17.33FQN,True,33,2900,False,17
17.34FDN,False,34,799,False,17
17.35FQN,True,35,750,False,17
17.36FDN,False,36,1049,False,17
17.37FQN,True,37,2299,False,17
17.38FQN,True,38,2600,False,17
17.39FQN,True,39,8950,False,17
17.3EQN,True,3,1099,False,17
17.40FQN,True,40,3000,False,17
17.41FQN,True,41,999,False,17
17.42FQN,True,42,400,False,17
17.43FQN,True,43,1900,False,17
17.44FDN,False,44,1000,False,17
17.45FDN,False,45,5600,False,17
17.46FQN,True,46,1700,False,17
17.47FQN,True,47,1950,False,17
17.48FQN,True,48,3750,False,17
17.4EQY,True,4,2599,True,17
17.5EQN,True,5,0,False,17
17.6EQY,True,6,0,True,17
17.7EDY,False,7,3500,True,17
17.8EDY,False,8,4250,True,17
17.9EDN,False,9,949,False,17
19.10EQY,True,10,5600,True,19
19.11EDN,False,11,4800,False,19
19.12EDY,False,12,3250,True,19
19.13EDN,False,13,-2,False,19
19.14EQN,True,14,1399,False,19
19.15EDY,False,15,1250,True,19
19.16EQN,True,16,15900,False,19
19.17FDY,False,17,1199,True,19
19.18FDY,False,18,1700,True,19
19.19FDY,False,19,11299,True,19
19.1EDY,False,1,9499,True,19
19.20FDY,False,20,6200,True,19
19.21FDY,False,21,3350,True,19
19.22FDY,False,22,2900,True,19
19.23FDY,False,23,1500,True,19
19.24FDY,False,24,700,True,19
19.25FQY,True,25,999,True,19
19.26FDY,False,26,10600,True,19
19.27FDY,False,27,5350,True,19
19.28FDY,False,28,3150,True,19
19.29FDY,False,29,2450,True,19
19.2EQY,True,2,2050,True,19
19.30FQY,True,30,1099,True,19
19.31FQY,True,31,19400,True,19
19.32FQY,True,32,3399,True,19
19.33FQN,True,33,5800,False,19
19.34FDN,False,34,2200,False,19
19.35FQN,True,35,-1,False,19
19.36FDN,False,36,1700,False,19
19.37FQN,True,37,3500,False,19
19.38FQN,True,38,8500,False,19
19.39FQN,True,39,6050,False,19
19.3EQY,True,3,1750,True,19
19.40FQN,True,40,3450,False,19
19.41FQN,True,41,1749,False,19
19.42FQN,True,42,950,False,19
19.43FQN,True,43,15100,False,19
19.44FDN,False,44,3950,False,19
19.45FDN,False,45,949,False,19
19.46FQN,True,46,1600,False,19
19.47FQN,True,47,3000,False,19
19.48FQN,True,48,4250,False,19
19.4EQN,True,4,17600,False,19
19.5EQY,True,5,22799,True,19
19.6EQN,True,6,1800,False,19
19.7EDN,False,7,3600,False,19
19.8EDN,False,8,2950,False,19
19.9EDY,False,9,2799,True,19
2.10EDY,False,10,1550,True,2
2.11EQN,True,11,-1,False,2
2.12EQY,True,12,1900,True,2
2.13EQN,True,13,450,False,2
2.14EDN,False,14,1350,False,2
2.15EQY,True,15,700,True,2
2.16EDN,False,16,699,False,2
2.17FQY,True,17,1800,True,2
2.18FQY,True,18,1700,True,2
2.19FQY,True,19,1800,True,2
2.1EQY,True,1,1450,True,2
2.20FQY,True,20,2450,True,2
2.21FQY,True,21,2200,True,2
2.22FQY,True,22,1500,True,2
2.23FQY,True,23,1900,True,2
2.24FQY,True,24,1300,True,2
2.25FDY,False,25,350,True,2
2.26FQY,True,26,5350,True,2
2.27FQY,True,27,2650,True,2
2.28FQY,True,28,1350,True,2
2.29FQY,True,29,550,True,2
2.2EDY,False,2,0,True,2
2.30FDY,False,30,1400,True,2
2.31FDY,False,31,2550,True,2
2.32FDY,False,32,1650,True,2
2.33FDN,False,33,1050,False,2
2.34FQN,True,34,1550,False,2
2.35FDN,False,35,600,False,2
2.36FQN,True,36,1800,False,2
2.37FDN,False,37,1000,False,2
2.38FDN,False,38,1200,False,2
2.39FDN,False,39,1050,False,2
2.3EDY,False,3,1700,True,2
2.40FDN,False,40,750,False,2
2.41FDN,False,41,3550,False,2
2.42FDN,False,42,1000,False,2
2.43FDN,False,43,1750,False,2
2.44FQN,True,44,3400,False,2
2.45FQN,True,45,400,False,2
2.46FDN,False,46,2350,False,2
2.47FDN,False,47,1250,False,2
2.48FDN,False,48,550,False,2
2.4EDN,False,4,3450,False,2
2.5EDY,False,5,1600,True,2
2.6EDN,False,6,2650,False,2
2.7EQN,True,7,-1,False,2
2.8EQN,True,8,600,False,2
2.9EQY,True,9,2500,True,2
20.10EDN,False,10,7050,False,20
20.11EQY,True,11,-1,True,20
20.12EQN,True,12,14649,False,20
20.13EQY,True,13,2900,True,20
20.14EDY,False,14,3900,True,20
20.15EQN,True,15,2750,False,20
20.16EDY,False,16,2000,True,20
20.17FQY,True,17,3850,True,20
20.18FQY,True,18,699,True,20
20.19FQY,True,19,2650,True,20
20.1EQN,True,1,3750,False,20
20.20FQY,True,20,2699,True,20
20.21FQY,True,21,599,True,20
20.22FQY,True,22,599,True,20
20.23FQY,True,23,11449,True,20
20.24FQY,True,24,1499,True,20
20.25FDY,False,25,5999,True,20
20.26FQY,True,26,-2,True,20
20.27FQY,True,27,2450,True,20
20.28FQY,True,28,-2,True,20
20.29FQY,True,29,4750,True,20
20.2EDN,False,2,11899,False,20
20.30FDY,False,30,11950,True,20
20.31FDY,False,31,3699,True,20
20.32FDY,False,32,1949,True,20
20.33FDN,False,33,1149,False,20
20.34FQN,True,34,3650,False,20
20.35FDN,False,35,1600,False,20
20.36FQN,True,36,2099,False,20
20.37FDN,False,37,2049,False,20
20.38FDN,False,38,1449,False,20
20.39FDN,False,39,5650,False,20
20.3EDN,False,3,1249,False,20
20.40FDN,False,40,12149,False,20
20.41FDN,False,41,9950,False,20
20.42FDN,False,42,850,False,20
20.43FDN,False,43,2199,False,20
20.44FQN,True,44,2199,False,20
20.45FQN,True,45,4050,False,20
20.46FDN,False,46,2849,False,20
20.47FDN,False,47,12049,False,20
20.48FDN,False,48,1649,False,20
20.4EDY,False,4,3750,True,20
20.5EDN,False,5,10550,False,20
20.6EDY,False,6,3300,True,20
20.7EQY,True,7,1549,True,20
20.8EQY,True,8,9550,True,20
20.9EQN,True,9,949,False,20
201.10EQN,True,10,1099,False,201
201.11EDY,False,11,949,True,201
201.12EDN,False,12,799,False,201
201.13EDY,False,13,1450,True,201
201.14EQY,True,14,1650,True,201
201.15EDN,False,15,500,False,201
201.16EQY,True,16,1550,True,201
201.17FDY,False,17,1300,True,201
201.18FDY,False,18,1350,True,201
201.19FDY,False,19,850,True,201
201.1EDN,False,1,2100,False,201
201.20FDY,False,20,6850,True,201
201.21FDY,False,21,1700,True,201
201.22FDY,False,22,1050,True,201
201.23FDY,False,23,1150,True,201
201.24FDY,False,24,1100,True,201
201.25FQY,True,25,1200,True,201
201.26FDY,False,26,1200,True,201
201.27FDY,False,27,1700,True,201
201.28FDY,False,28,1000,True,201
201.29FDY,False,29,1200,True,201
201.2EQN,True,2,1050,False,201
201.30FQY,True,30,1350,True,201
201.31FQY,True,31,1600,True,201
201.32FQY,True,32,1550,True,201
201.33FQN,True,33,1150,False,201
201.34FDN,False,34,1850,False,201
201.35FQN,True,35,1200,False,201
201.36FDN,False,36,700,False,201
201.37FQN,True,37,1450,False,201
201.38FQN,True,38,1350,False,201
201.39FQN,True,39,1500,False,201
201.3EQN,True,3,1700,False,201
201.40FQN,True,40,4400,False,201
201.41FQN,True,41,1150,False,201
201.42FQN,True,42,3300,False,201
201.43FQN,True,43,1400,False,201
201.44FDN,False,44,700,False,201
201.45FDN,False,45,1250,False,201
201.46FQN,True,46,1150,False,201
201.47FQN,True,47,1400,False,201
201.48FQN,True,48,699,False,201
201.4EQY,True,4,1100,True,201
201.5EQN,True,5,1200,False,201
201.6EQY,True,6,1350,True,201
201.7EDY,False,7,1750,True,201
201.8EDY,False,8,1700,True,201
201.9EDN,False,9,750,False,201
203.10EQY,True,10,1200,True,203
203.11EDN,False,11,1949,False,203
203.12EDY,False,12,950,True,203
203.13EDN,False,13,800,False,203
203.14EQN,True,14,449,False,203
203.15EDY,False,15,450,True,203
203.16EQN,True,16,-1,False,203
203.17FDY,False,17,400,True,203
203.18FDY,False,18,0,True,203
203.19FDY,False,19,0,True,203
203.1EDY,False,1,0,True,203
203.20FDY,False,20,950,True,203
203.21FDY,False,21,1350,True,203
203.22FDY,False,22,0,True,203
203.23FDY,False,23,-1,True,203
203.24FDY,False,24,350,True,203
203.25FQY,True,25,1249,True,203
203.26FDY,False,26,2350,True,203
203.27FDY,False,27,-1,True,203
203.28FDY,False,28,0,True,203
203.29FDY,False,29,1450,True,203
203.2EQY,True,2,0,True,203
203.30FQY,True,30,550,True,203
203.31FQY,True,31,0,True,203
203.32FQY,True,32,2999,True,203
203.33FQN,True,33,0,False,203
203.34FDN,False,34,1250,False,203
203.35FQN,True,35,-1,False,203
203.36FDN,False,36,-1,False,203
203.37FQN,True,37,0,False,203
203.38FQN,True,38,1149,False,203
203.39FQN,True,39,0,False,203
203.3EQY,True,3,700,True,203
203.40FQN,True,40,700,False,203
203.41FQN,True,41,900,False,203
203.42FQN,True,42,600,False,203
203.43FQN,True,43,-1,False,203
203.44FDN,False,44,2299,False,203
203.45FDN,False,45,0,False,203
203.46FQN,True,46,850,False,203
203.47FQN,True,47,0,False,203
203.48FQN,True,48,550,False,203
203.4EQN,True,4,-1,False,203
203.5EQY,True,5,550,True,203
203.6EQN,True,6,950,False,203
203.7EDN,False,7,-1,False,203
203.8EDN,False,8,399,False,203
203.9EDY,False,9,400,True,203
204.10EDN,False,10,2400,False,204
204.11EQY,True,11,1949,True,204
204.12EQN,True,12,1800,False,204
204.13EQY,True,13,3900,True,204
204.14EDY,False,14,4000,True,204
204.15EQN,True,15,3450,False,204
204.16EDY,False,16,1500,True,204
204.17FQY,True,17,1850,True,204
204.18FQY,True,18,3450,True,204
204.19FQY,True,19,3250,True,204
204.1EQN,True,1,2850,False,204
204.20FQY,True,20,6800,True,204
204.21FQY,True,21,4850,True,204
204.22FQY,True,22,2300,True,204
204.23FQY,True,23,1200,True,204
204.24FQY,True,24,4500,True,204
204.25FDY,False,25,1850,True,204
204.26FQY,True,26,2750,True,204
204.27FQY,True,27,1450,True,204
204.28FQY,True,28,3050,True,204
204.29FQY,True,29,3700,True,204
204.2EDN,False,2,1900,False,204
204.30FDY,False,30,3100,True,204
204.31FDY,False,31,3300,True,204
204.32FDY,False,32,1200,True,204
204.33FDN,False,33,1650,False,204
204.34FQN,True,34,2150,False,204
204.35FDN,False,35,5250,False,204
204.36FQN,True,36,3150,False,204
204.37FDN,False,37,2950,False,204
204.38FDN,False,38,5000,False,204
204.39FDN,False,39,2700,False,204
204.3EDN,False,3,1100,False,204
204.40FDN,False,40,3100,False,204
204.41FDN,False,41,2450,False,204
204.42FDN,False,42,2300,False,204
204.43FDN,False,43,3850,False,204
204.44FQN,True,44,2700,False,204
204.45FQN,True,45,3350,False,204
204.46FDN,False,46,3700,False,204
204.47FDN,False,47,2200,False,204
204.48FDN,False,48,3350,False,204
204.4EDY,False,4,1850,True,204
204.5EDN,False,5,3950,False,204
204.6EDY,False,6,1750,True,204
204.7EQY,True,7,2450,True,204
204.8EQY,True,8,2850,True,204
204.9EQN,True,9,2450,False,204
205.10EQN,True,10,2650,False,205
205.11EDY,False,11,1700,True,205
205.12EDN,False,12,2800,False,205
205.13EDY,False,13,3500,True,205
205.14EQY,True,14,3450,True,205
205.15EDN,False,15,2550,False,205
205.16EQY,True,16,3200,True,205
205.17FDY,False,17,2550,True,205
205.18FDY,False,18,1950,True,205
205.19FDY,False,19,2050,True,205
205.1EDN,False,1,2700,False,205
205.20FDY,False,20,2900,True,205
205.21FDY,False,21,2200,True,205
205.22FDY,False,22,1700,True,205
205.23FDY,False,23,2100,True,205
205.24FDY,False,24,2350,True,205
205.25FQY,True,25,2650,True,205
205.26FDY,False,26,3600,True,205
205.27FDY,False,27,2300,True,205
205.28FDY,False,28,2150,True,205
205.29FDY,False,29,2850,True,205
205.2EQN,True,2,2500,False,205
205.30FQY,True,30,2950,True,205
205.31FQY,True,31,2900,True,205
